Particulars,India/ State/ UTs,Gender,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Senior Secondary School,Himachal Pradesh,Total,123318,142787,151315,339732,339732,165691,161308,162758,177824,196758
Senior Secondary School,Himachal Pradesh,Boy,NA,NA,NA,NA,NA,93854,88731,89529,91220,103092
Senior Secondary School,Himachal Pradesh,Girl,NA,NA,NA,NA,NA,71837,72577,73229,86604,93666
Senior Secondary School,Jammu and Kashmir,Total,114224,119362,137007,138720,144225,144225,144225,231723,218258,218258
Senior Secondary School,Jammu and Kashmir,Boy,NA,NA,NA,NA,NA,80100,80100,126303,116332,116332
Senior Secondary School,Jammu and Kashmir,Girl,NA,NA,NA,NA,NA,64125,64125,105420,101926,101926
Senior Secondary School,Jharkhand,Total,12279,45784,44334,30621,41849,47629,94947,94947,107632,186814
Senior Secondary School,Jharkhand,Boy,NA,NA,NA,NA,NA,29115,55408,55408,58686,101702
Senior Secondary School,Jharkhand,Girl,NA,NA,NA,NA,NA,18514,39539,39539,48946,85112
Senior Secondary School,Karnataka,Total,608036,437883,662914,782665,782703,903321,967989,963453,987645,987645
Senior Secondary School,Karnataka,Boy,NA,NA,NA,NA,NA,482104,504787,487398,496916,496916
Senior Secondary School,Karnataka,Girl,NA,NA,NA,NA,NA,421217,463202,476055,490729,490729
Senior Secondary School,Kerala,Total,401851,436047,85185,323286,421340,588995,538227,634517,693787,711618
Senior Secondary School,Kerala,Boy,NA,NA,NA,NA,NA,272934,245423,294688,323855,337274
